"cell_id","cluster_factor","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_State"
"SRR1294521","0",0.248544651221267,-0.288963951699318,0.168986481016168,"PERK-high"
"SRR1294522","0",-0.160165585346473,0.103846962204483,0.112096761232812,"Intermediate/Mixed"
"SRR1294524","0",-0.135292142369747,-0.217099177253851,-0.385511803917868,"All-low"
"SRR1294525","0",0.678909419840091,0.306518875615762,0.876328263718091,"Multi-arm-high"
"SRR1294527","0",-0.00406557897469062,0.0415850814132985,0.0194777823286224,"Intermediate/Mixed"
"SRR1294528","0",-0.208576848072635,-0.122366800502231,-0.302851322906241,"All-low"
"SRR1294529","0",-0.1973285565367,0.0235562204523284,0.372448028787608,"Intermediate/Mixed"
"SRR1294530","0",-0.0524502727386732,-0.0952905932307017,0.086474944947734,"Intermediate/Mixed"
"SRR1294531","0",0.37330823632585,-0.240473654539381,-0.376378752171834,"PERK-high"
"SRR1294532","0",-0.0860757298007628,-0.204168717266174,-0.25649706894322,"Intermediate/Mixed"
"SRR1294533","0",0.0214700936009876,-0.14642063334971,0.00620702779369064,"Intermediate/Mixed"
"SRR1294534","0",-0.179592835142531,-0.0340355318755058,-0.116464115489325,"All-low"
"SRR1294535","0",-0.138684103092108,0.0509350995810852,0.0481163651758381,"Intermediate/Mixed"
"SRR1294536","0",-0.151840614181757,0.12523294083261,-0.239618153501321,"Intermediate/Mixed"
"SRR1294537","0",0.315530954270919,0.328214396827077,0.0428254871525823,"PERK-high"
"SRR1294539","0",-0.0561639662725075,-0.18469045890047,-0.301604899876662,"Intermediate/Mixed"
"SRR1294540","0",-0.189403089524632,-0.194219177314496,-0.213330733393156,"All-low"
"SRR1294541","0",0.104282948709371,-0.0508789884604268,0.947467337111429,"Multi-arm-high"
"SRR1294542","0",0.117066532723643,0.61145860110169,1.48724863885845,"Multi-arm-high"
"SRR1294543","0",-0.220412081841151,-0.137028241161111,-0.299754464821369,"All-low"
"SRR1294544","0",-0.189615122915231,-0.0930344578186995,0.053669132559612,"All-low"
"SRR1294545","0",0.0183754843202226,-0.260739354837661,-0.184495095076559,"Intermediate/Mixed"
"SRR1294546","0",-0.106802772500047,-0.213856793867223,-0.385912087168072,"Intermediate/Mixed"
"SRR1294547","0",-0.0352395030777214,0.231998920392722,0.289273290327728,"Intermediate/Mixed"
"SRR1294548","0",-0.0558188183056337,-0.161888018753012,-0.439951427312633,"Intermediate/Mixed"
"SRR1294549","0",0.0870452095487286,-0.110793089126242,0.140096651254747,"Intermediate/Mixed"
"SRR1294551","0",-0.255560989126098,-0.0165520185708989,0.177046194795771,"Intermediate/Mixed"
"SRR1294552","0",-0.249628074190592,0.685421888485497,1.04022052841115,"Multi-arm-high"
"SRR1294553","0",-0.0620482683315317,0.263195421918708,-0.0148816605921963,"Intermediate/Mixed"
"SRR1294554","0",-0.0708816085667134,-0.103733075276479,-0.217085941789361,"Intermediate/Mixed"
"SRR1294555","0",0.350235972037687,0.114612720927246,-0.0479390141877234,"PERK-high"
"SRR1294556","0",0.266362815908185,0.101265232159958,0.266794545836281,"PERK-high"
"SRR1294557","0",-0.137946548677621,0.0189922392314799,-0.381316311816027,"Intermediate/Mixed"
"SRR1294559","0",0.0126008131763301,0.250020325211834,-0.0416685127694371,"Intermediate/Mixed"
"SRR1294560","0",-0.00022846026084683,-0.312879877054559,-0.0580896070169636,"Intermediate/Mixed"
"SRR1294561","0",-0.0236914197116123,-0.134994668680297,0.809610649745072,"ATF6-high"
"SRR1294562","0",-0.0430868783736456,0.070099531559193,0.106249305735796,"Intermediate/Mixed"
"SRR1294563","0",0.203444218449238,0.511948388381442,0.711724877071228,"Multi-arm-high"
"SRR1294565","0",-0.253756302165155,-0.250731204902707,0.0113086234120876,"All-low"
"SRR1294566","0",0.0859028730912427,0.224280415035363,1.33326778757741,"ATF6-high"
"SRR1294567","0",-0.17196456616579,-0.293693316047786,-0.384587126353737,"All-low"
"SRR1294568","0",0.0779524922966208,0.0642999451625846,-0.352898304598704,"Intermediate/Mixed"
"SRR1294569","0",0.11217342360488,-0.17427903415856,-0.265130507498863,"PERK-high"
"SRR1294570","0",0.384287657743385,-0.209146574476169,-0.263532819320972,"PERK-high"
"SRR1294571","0",0.385555869077376,-0.0213190239353545,0.404416123247765,"PERK-high"
"SRR1294572","0",0.126048466865108,0.33118535033582,0.254003929663047,"Multi-arm-high"
"SRR1294573","0",-0.205482232730843,0.0773459263445255,0.653092079010007,"Intermediate/Mixed"
"SRR1294574","0",-0.0888058805645458,0.425188195682355,0.0392088646798944,"IRE1-high"
"SRR1294576","0",0.348485448267478,0.698489937148396,1.16893675557321,"Multi-arm-high"
"SRR1294577","0",0.20723296391158,0.611469468336982,0.656916883510816,"Multi-arm-high"
"SRR1294578","0",0.394058872260714,0.412837384714914,0.516321354222009,"Multi-arm-high"
"SRR1294579","0",0.115403960325458,-0.267986535694944,-0.34959439798852,"PERK-high"
"SRR1294580","0",0.0584806831119639,-0.319848200170719,-0.197373064446587,"Intermediate/Mixed"
"SRR1294581","0",-0.103850874175419,-0.208742101176077,0.126967327142443,"Intermediate/Mixed"
