"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.scaled","receptor.scaled","weight_sc","consensus_rank"
"3","8","CALM2","CALM2","AQP1","AQP1",0.342857142857143,1,0.270417284121621,-0.203716344944731,0.0333504695884452,104468
"3","6","TNFSF13","TNFSF13","TNFRSF14","TNFRSF14",0.287671232876712,0.133333333333333,0.18979826748974,-0.123117643900415,0.0333403117946626,104474
"5","6","HLA-F","HLA-F","KIR3DL1","KIR3DL1",0.191780821917808,0.933333333333333,0.0978540614573888,-0.0314661953228788,0.033193933067255,104563
"3","8","NTN1","NTN1","NEO1","NEO1",0.657142857142857,0.311111111111111,-0.159931396016833,0.226177649335869,0.0331231266595181,104599
"5","6","NCAM1","NCAM1","NCAM2","NCAM2",0.753424657534247,0.986666666666667,0.43217718288313,-0.365962354435689,0.0331074142237205,104606
"5","8","IRAK4","IRAK4","TLR4","TLR4",0.942857142857143,0.973333333333333,0.0366719945847938,0.029501415808705,0.0330867051967494,104613
"3","8","WNT9A","WNT9A","FZD7_LRP5","LRP5",0.228571428571429,0.155555555555556,-0.116095418766354,0.181949025478007,0.0329268033558263,104694
"5","8","WNT7A","WNT7A","FZD3_LRP5","LRP5",0.228571428571429,0.72,-0.119902186678887,0.185737069770169,0.0329174415456406,104701
"3","8","TGM2","TGM2","ITGA9","ITGA9",0.485714285714286,0.911111111111111,-0.0138251204417233,0.0794653681898948,0.0328201238740857,104740
"5","6","PTH","PTH","TSHR","TSHR",0.931506849315068,0.12,-0.00824741338546052,0.0737476324403963,0.0327501095274679,104762
"5","8","IL1A","IL1A","IL1R1_IL1RAP","IL1RAP",0.828571428571429,0.12,0.230027651675929,-0.164582472140215,0.032722589767857,104778
"3","6","EFNA5","EFNA5","EPHA6","EPHA6",0.931506849315068,0.766666666666667,-0.163440019364855,0.228868693915713,0.0327143372754289,104783
"5","1","BDNF","BDNF","DRD4","DRD4",0.177966101694915,0.266666666666667,-0.144417357910279,0.2097648491984,0.0326737456440604,104809
"5","8","PTHLH","PTHLH","PTH2R","PTH2R",0.371428571428571,0.24,0.149162887207621,-0.0839269749314444,0.0326179561380883,104841
"5","6","PLA2G2A","PLA2G2A","EGFR","EGFR",0.753424657534247,0.653333333333333,0.908225440373695,-0.842991982439204,0.0326167289672454,104843
"5","6","GPI","GPI","NTRK1","NTRK1",0.835616438356164,1,0.0331778303391609,0.031988741911224,0.0325832861251925,104860
"3","8","RSPO2","RSPO2","ZNRF3","ZNRF3",0.857142857142857,0.522222222222222,0.0419223952083326,0.0230493528130144,0.0324858740106735,104902
"3","8","WNT7A","WNT7A","RECK","RECK",0.714285714285714,0.755555555555556,-0.0171014172322892,0.0820412304257787,0.0324699065967448,104908
"3","8","CTHRC1","CTHRC1","FZD6","FZD6",0.514285714285714,0.233333333333333,0.0912709793602318,-0.0263856029525798,0.032442688203826,104920
"3","6","COL11A2","COL11A2","ITGA11_ITGB1","ITGA11",0.917808219178082,0.144444444444444,-0.0653000551028698,0.130153379414066,0.0324266621555979,104926
"3","1","COL4A3","COL4A3","ITGA11_ITGB1","ITGB1",0.703389830508475,0.988888888888889,-0.198265784388864,0.263090971981556,0.0324125937963459,104935
