"cell_id","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","IRE1_Score1","PERK_Score1","ATF6_Score1","Proliferation_Score1","Mesenchymal_Score1","Stemness_Score1","Hypoxia_Score1","Glycolysis_Score1","OXPHOS_Score1","IRE1_score","PERK_score","ATF6_score","Glycolysis_score","OXPHOS_score","Fatty_Acid_score","UPR_Reostat_SD","UPR_Reostat_Range","UPR_Reostat_CV_Fixed","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_Reostat","UPR_State"
"SRR1294930","GlioblastomaUPR",2431246.87571738,16877,4.09249775734303,"2","2",0.516230474017304,-0.0894195717436702,1.40078128388287,-0.146305223618089,-0.102419960636271,-0.0032659475693838,-0.214964195790305,0.81001747187861,0.362502436907646,0.516230474017304,-0.0894195717436702,1.40078128388287,0.81001747187861,0.362502436907646,-0.102419960636271,0.749437645090658,1.49020085562654,1.0576061255305,-0.0894195717436702,0.516230474017304,1.40078128388287,0.749437645090658,"Multi-arm-high"
"SRR1294931","GlioblastomaUPR",1958231.33339514,18574,2.77707760738074,"2","2",0.112359104818294,-0.25055264600585,1.14000282673875,-0.151786398982695,0.0246681568789587,0.0344518813140043,0.165568667725087,1.15515955002057,-0.0808073169953641,0.112359104818294,-0.25055264600585,1.14000282673875,1.15515955002057,-0.0808073169953641,0.0246681568789587,0.721272149384767,1.3905554727446,1.21326392745501,-0.25055264600585,0.112359104818294,1.14000282673875,0.721272149384767,"ATF6-high"
"SRR1294932","GlioblastomaUPR",1930990.86704262,18617,2.55806673531881,"2","2",0.073253558427237,-0.0211134859086706,0.266974794212492,-0.188023608445709,-0.472407121546516,-0.00724472993022746,-0.0537581340432229,0.73335508130842,0.0729492530540693,0.073253558427237,-0.0211134859086706,0.266974794212492,0.73335508130842,0.0729492530540693,-0.472407121546516,0.146871777067636,0.288088280121163,1.06827407739954,-0.0211134859086706,0.073253558427237,0.266974794212492,0.146871777067636,"Intermediate/Mixed"
"SRR1294933","GlioblastomaUPR",1144410.27454139,8274,13.9231442613286,"2","2",0.457996813238021,-0.101675550330696,1.67309731134737,-0.0400244874848109,0.985381730774273,0.0403851798733036,-0.0808318269228139,1.66126796033324,0.602600428343795,0.457996813238021,-0.101675550330696,1.67309731134737,1.66126796033324,0.602600428343795,0.985381730774273,0.907333188121203,1.77477286167806,1.15122124010274,-0.101675550330696,0.457996813238021,1.67309731134737,0.907333188121203,"Multi-arm-high"
"SRR1294934","GlioblastomaUPR",1440026.14142245,18336,4.42407787368984,"0","0",0.268102208113267,-0.213281787577297,0.535293426425852,-0.0875042513335423,-0.447242056783791,-0.103869088179369,-0.214218809627811,0.374638543423092,-0.154242795116402,0.268102208113267,-0.213281787577297,0.535293426425852,0.374638543423092,-0.154242795116402,-0.447242056783791,0.379360547384287,0.748575214003149,0.903268640283618,-0.213281787577297,0.268102208113267,0.535293426425852,0.379360547384287,"Intermediate/Mixed"
"SRR1294935","GlioblastomaUPR",3497245.85405212,15819,2.70066915038632,"2","2",0.265369910036192,-0.12761568374507,0.492133920134624,-0.15235385476704,0.293605938662151,-0.0291505770036127,0.135299666027224,1.6001369886413,0.0986467836451657,0.265369910036192,-0.12761568374507,0.492133920134624,1.6001369886413,0.0986467836451657,0.293605938662151,0.313567952418762,0.619749603879693,0.902150286445164,-0.12761568374507,0.265369910036192,0.492133920134624,0.313567952418762,"Intermediate/Mixed"
"SRR1294936","GlioblastomaUPR",752630.13622117,16100,2.51436793923841,"2","2",-0.0774286327034305,-0.187876115236669,0.364301201558742,-0.187093281827577,-0.096660193806745,-0.0620558005045977,-0.236202297518637,0.0616656564376578,0.00476665054643222,-0.0774286327034305,-0.187876115236669,0.364301201558742,0.0616656564376578,0.00476665054643222,-0.096660193806745,0.292182500633479,0.552177316795411,1.26554449501384,-0.187876115236669,-0.0774286327034305,0.364301201558742,0.292182500633479,"Intermediate/Mixed"
"SRR1294937","GlioblastomaUPR",2212085.72184991,16596,3.10363896296069,"2","2",0.472388849238697,-0.285876080666474,1.21913418193554,-0.161016672477693,-0.100004757384593,-0.0270242998760698,-0.0865697389120667,0.905884337998534,0.18379200718695,0.472388849238697,-0.285876080666474,1.21913418193554,0.905884337998534,0.18379200718695,-0.100004757384593,0.752512479006827,1.50501026260202,0.984416281306547,-0.285876080666474,0.472388849238697,1.21913418193554,0.752512479006827,"Multi-arm-high"
"SRR1294938","GlioblastomaUPR",1950605.79971237,16678,6.86257001623954,"2","2",0.0601994887650406,0.0728375527023458,1.06852787499037,-0.153327446965386,0.0865679253745116,-0.0257643743907773,-0.166241134257397,0.891824869675191,0.536134130601155,0.0601994887650406,0.0728375527023458,1.06852787499037,0.891824869675191,0.536134130601155,0.0865679253745116,0.578544880573361,1.00832838622532,1.65146531694852,0.0728375527023458,0.0601994887650406,1.06852787499037,0.578544880573361,"ATF6-high"
"SRR1294939","GlioblastomaUPR",152409.534376602,8685,6.88177483935981,"1","1",-0.0484564948753632,-0.262501867601597,0.271024759950729,-0.170214489437137,-0.41716069857421,-0.0904155621686356,-0.23009648525226,-0.124895702232254,-0.270628110613768,-0.0484564948753632,-0.262501867601597,0.271024759950729,-0.124895702232254,-0.270628110613768,-0.41716069857421,0.268494058307357,0.533526627552327,1.03589400677173,-0.262501867601597,-0.0484564948753632,0.271024759950729,0.268494058307357,"Intermediate/Mixed"
"SRR1294940","GlioblastomaUPR",1052243.19169692,6198,15.789413008661,"0","0",0.620911813016374,-0.0855636472447397,1.93974140408783,-0.0468909675316105,0.662509096895284,-0.00721614316126983,-0.0811659150272489,1.25092502827819,0.474902645774989,0.620911813016374,-0.0855636472447397,1.93974140408783,1.25092502827819,0.474902645774989,0.662509096895284,1.02796559744559,2.02530505133257,1.11663355555986,-0.0855636472447397,0.620911813016374,1.93974140408783,1.02796559744559,"Multi-arm-high"
"SRR1294941","GlioblastomaUPR",1779421.71433025,17494,3.49798916422163,"2","2",0.332304968880727,-0.233950484131329,0.927748356568525,-0.151363330555719,-0.0829104139784872,-0.00848647893799573,-0.203127981144319,0.647807577480211,0.201519524539941,0.332304968880727,-0.233950484131329,0.927748356568525,0.647807577480211,0.201519524539941,-0.0829104139784872,0.580910529899742,1.16169884069985,0.991340671331937,-0.233950484131329,0.332304968880727,0.927748356568525,0.580910529899742,"Multi-arm-high"
