"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00108789797619649,1.71106004433426,0.352,0.211,1,"4","CAPN11"
0.00108898338490176,0.840737629114947,0.386,0.234,1,"4","SLC44A3"
0.00109124898930939,1.49229774878261,0.386,0.234,1,"4","SAMD12-AS1"
0.00109460217082368,1.17395890971188,0.318,0.183,1,"4","CYP4Z2P"
0.00109891842927977,1.14186029075266,0.284,0.156,1,"4","GAS6-AS1"
0.00109912601655796,0.556813562246675,0.932,0.853,1,"4","ETAA1"
0.00109957843258472,1.28788121314422,0.432,0.28,1,"4","ITGAD"
0.00109973353110126,0.57033447308686,0.977,0.884,1,"4","ZNF677"
0.00110028191489453,0.483046217635614,0.943,0.858,1,"4","CRAT"
0.00110150450286291,0.800163628377304,0.659,0.503,1,"4","SULT1A4"
0.00110396723320109,0.898969019098593,0.591,0.423,1,"4","ABCA10"
0.00110698711376987,0.848437200697095,0.739,0.618,1,"4","ZNF286B"
0.00110738836649003,1.79457239920177,0.284,0.166,1,"4","RN7SL231P"
0.00111010353347027,1.13016679966343,0.409,0.275,1,"4","KCNIP4"
0.00111170957010533,0.914620716602815,0.591,0.457,1,"4","SMCR2"
0.00111172049381541,2.20525949842029,0.261,0.143,1,"4","AKR1B10P2"
0.00111271859185881,0.648433252114335,1,0.999,1,"4","UBC"
0.0011145211299772,0.554020433182795,0.75,0.564,1,"4","VPS37A"
0.00111457503750438,1.64338110615922,0.25,0.128,1,"4","CEACAM20"
0.00111636691959124,1.42657298499581,0.364,0.226,1,"4","LYG1"
0.00111724365765686,1.11080239067065,0.409,0.253,1,"4","ARHGEF5"
0.00111949837934554,0.857515654199251,0.489,0.342,1,"4","RNF32"
0.00112290716345219,0.482372311454931,0.739,0.554,1,"4","DPY19L2"
0.00112360875273116,1.64563406409204,0.58,0.402,1,"4","LPAR1"
0.00112430491382485,1.04531156108314,0.727,0.538,1,"4","TNKS2"
0.00112648490497722,0.364693212034435,0.92,0.84,1,"4","FAM66B"
0.00112986425429392,1.55257519791681,0.261,0.133,1,"4","SPESP1"
0.0011308216420215,1.76879251086107,0.307,0.172,1,"4","MIR583HG"
0.00113426611999651,1.93664743332812,0.33,0.188,1,"4","RAD51AP1P1"
0.00113938297803233,0.63971848498061,0.534,0.367,1,"4","TBX3"
0.00114292873703616,0.27634381638791,0.557,0.395,1,"4","OLFM2"
0.00114328936277174,1.91036536585754,0.295,0.172,1,"4","CYP4F35P"
0.00114515789269934,1.25937099727528,0.409,0.3,1,"4","RPSAP48"
0.0011471033043513,0.571846974479769,0.818,0.718,1,"4","LINC03074"
0.00114807090610159,1.82802888117147,0.318,0.183,1,"4","CTRB1"
0.00115003126456447,0.763004909090848,0.409,0.269,1,"4","RN7SL702P"
0.00115287706480265,1.81336027497354,0.477,0.318,1,"4","UPF1"
0.00115688408518742,0.412931459192332,0.602,0.453,1,"4","CCDC146"
0.00115717381377424,0.614085079890161,0.557,0.419,1,"4","SCNN1D"
0.00116089071679553,1.81608630880871,0.25,0.133,1,"4","IRAG1-AS1"
0.00116832240646033,0.352679855340954,0.966,0.876,1,"4","GFPT1"
0.00117575879468989,0.427376612695484,0.852,0.695,1,"4","COASY"
0.00117775462069133,0.847844255911388,0.375,0.225,1,"4","ACSM5P1"
0.001177900789548,1.84046560031027,0.318,0.181,1,"4","CCDC187"
0.00117889114201648,0.441813341182566,0.898,0.759,1,"4","TNIK"
0.00118138358184505,2.5268695323272,0.455,0.317,1,"4","RN7SL479P"
0.0011819764031227,2.23502540762725,0.398,0.277,1,"4","RN7SL272P"
0.00118958851710181,0.556203991304685,0.989,0.994,1,"4","ALDOA"
0.00119017817556631,0.491391500173513,0.705,0.562,1,"4","ANOS1"
0.00119303661870819,0.628113824237846,0.795,0.607,1,"4","BCL7B"
0.00119334233408844,0.593703093118489,0.341,0.208,1,"4","RPL13AP17"
0.00119548751054576,0.794458352667232,0.455,0.289,1,"4","SAP30L"
0.00119552903273267,0.483099863811249,0.966,0.874,1,"4","DNAJC2"
0.0011976322780727,0.274704692955471,0.773,0.577,1,"4","DLGAP4"
0.00119828923349205,0.689308851112775,0.432,0.273,1,"4","IKBKE-AS1"
0.00119838707490297,1.66101769337921,0.295,0.165,1,"4","ENTREP2"
0.00120096130748263,0.681676318299143,0.489,0.338,1,"4","STIMATE"
0.00120295185019598,1.02408177837098,0.318,0.18,1,"4","KLKB1"
0.00120446952993606,0.689985658029866,0.591,0.42,1,"4","SYNGAP1"
0.00120511885454409,1.6750616482307,0.25,0.128,1,"4","C15orf32"
0.00120589493827977,1.30046544238135,0.534,0.39,1,"4","RASGEF1A"
0.00120997123835019,1.06075217295374,0.511,0.332,1,"4","PDGFRB"
0.00121077390593026,0.750751273352815,0.977,0.958,1,"4","SPIDR"
0.00121475555055808,1.2915774995141,0.273,0.146,1,"4","FGG"
0.00121719185221708,0.67256915396062,0.92,0.759,1,"4","CIB1"
0.00121988066559738,0.913232458067946,0.659,0.533,1,"4","SFT2D3"
0.0012233143503103,1.75379709109223,0.33,0.193,1,"4","ASB10"
0.00122450124830958,1.02498992001164,0.33,0.181,1,"4","PPP1R1A"
0.00122856385165782,1.59974392167628,0.42,0.268,1,"4","LINC01350"
0.00122883172033871,0.346580233995662,0.739,0.575,1,"4","NCOA2"
0.00122966197139899,0.424350346591417,0.989,0.879,1,"4","AP3S2"
0.00123250947894764,1.26847687873278,0.432,0.277,1,"4","TTBK2-AS1"
0.00123439586925736,1.52590560279624,0.455,0.309,1,"4","NR4A3"
0.00123533442485384,0.269877564398403,0.773,0.594,1,"4","CTTNBP2"
0.00123799180552586,1.44837869106874,0.42,0.285,1,"4","C4BPA"
0.00124289142160907,2.14914888497614,0.443,0.286,1,"4","STK33P1"
0.00124530413911005,0.590337852665368,0.42,0.262,1,"4","AGXT2"
0.00124624883388426,1.22377360381679,0.284,0.155,1,"4","HPD"
0.0012524752762472,1.1810553749059,0.761,0.641,1,"4","SPOCK1"
0.00125662997612253,1.45289609050069,0.443,0.29,1,"4","NUDT19-DT"
0.00125898261834588,0.42639765491258,0.614,0.425,1,"4","C1orf198"
0.00125978225779855,0.628132153022697,0.386,0.238,1,"4","CRYZL2P-SEC16B"
0.00126221189537889,1.40398322992358,0.307,0.174,1,"4","ERICH6"
0.00126919921010461,1.94759646645429,0.307,0.172,1,"4","PRSS1"
0.00127452894211228,2.15720086998151,0.261,0.139,1,"4","B3GALNT1P1"
0.00128010813814923,1.18730912721683,0.375,0.223,1,"4","PP2D1"
0.00128759371057771,2.39893722370734,0.341,0.199,1,"4","REG4"
0.00128963189126646,3.44128396828962,0.25,0.132,1,"4","MT1IP"
0.00129262004034291,4.18747880984125,0.909,0.714,1,"4","PLP1"
0.0012934456347379,1.51530833962531,0.523,0.355,1,"4","CDR2L"
0.0013037108810941,1.3867611926105,0.318,0.186,1,"4","AOX3P"
0.00130432175106092,1.48083367443073,0.284,0.155,1,"4","ANKRD24"
0.00130544527980644,1.13260865102089,0.568,0.413,1,"4","RFTN1"
0.00130895593584928,1.63483250914513,0.534,0.379,1,"4","ATP8B5P"
0.00130897304909526,0.992946530776713,0.42,0.276,1,"4","PRKXP1"
0.00131094567379927,1.28884826451999,0.568,0.409,1,"4","ADAMDEC1"
0.00131143993009722,0.822681375878854,0.841,0.658,1,"4","POC1B-GALNT4"
0.00131241339994975,1.55676514223995,0.33,0.199,1,"4","RSPH14"
0.00131308253567088,0.457656371987345,0.977,0.822,1,"4","TMEM245"
0.00131546548634388,0.55129374276872,0.727,0.625,1,"4","FAP"
0.00131837995497718,0.480277162838357,0.841,0.693,1,"4","SLC35C2"
0.00132356923681053,1.64765896134116,0.284,0.16,1,"4","RNU6-1188P"
0.0013240169972275,1.37847868475931,0.386,0.246,1,"4","STYXL2"
0.00132611569132795,0.60198536424094,0.489,0.324,1,"4","CDKN2AIP"
0.00132906020899734,0.251582902404952,0.909,0.815,1,"4","IMMP1L"
0.00133028151340702,0.54922872441628,0.614,0.427,1,"4","PARG"
0.00133063477774286,1.50171946124391,0.42,0.278,1,"4","OR2A7"
0.00133713234783916,0.745016174042345,0.511,0.347,1,"4","BICD2"
0.0013430599290027,0.559593662452881,0.42,0.269,1,"4","LINC02219"
0.00134961992152855,1.77900805057187,0.25,0.126,1,"4","HLA-DPA2"
0.00135479832796357,0.794245281134446,0.511,0.349,1,"4","NECTIN1"
0.00135656700058954,0.921480116020608,0.364,0.216,1,"4","PICART1"
0.00135812641577358,0.400665981384981,0.943,0.835,1,"4","ANKRD36C"
0.00136839059627212,0.398798665105273,0.682,0.575,1,"4","ITIH4"
0.00137310234286152,1.66224374954378,0.307,0.176,1,"4","LINC02887"
0.00137617203685838,0.347702316191541,0.898,0.765,1,"4","IRAG2"
0.00137788396204944,2.13560493617444,0.398,0.239,1,"4","GNB1-DT"
0.00137928228402054,0.612680409077345,0.5,0.342,1,"4","FSTL5"
0.00138134466256003,0.673879704609528,0.318,0.186,1,"4","CALHM4"
0.00138438692517913,1.18633544496095,0.284,0.148,1,"4","WFIKKN2"
0.00139232621689313,0.899134567123317,0.75,0.623,1,"4","NR6A1"
0.00139242725456358,1.28079301121984,0.33,0.202,1,"4","TTC29"
0.00139844631485109,1.27572058574598,0.432,0.271,1,"4","CHKB"
0.00139891704359982,0.966441470552614,0.477,0.328,1,"4","LINC01767"
0.00140355730225007,0.61669819360684,0.932,0.797,1,"4","KLHL8"
0.00140982604728493,1.33569307107039,0.489,0.341,1,"4","CLPTM1"
0.00141092061314132,0.886112128367823,0.477,0.332,1,"4","NPIPA7"
0.00141912813251736,1.89824026621579,0.284,0.153,1,"4","LINC01714"
0.00142194057753843,0.85345932133339,0.386,0.254,1,"4","MAP3K20-AS1"
0.00143134101737242,1.00217517874325,0.42,0.272,1,"4","LINC02357"
0.00143743632947938,1.10273482935227,0.602,0.436,1,"4","LINC01498"
0.00144265869606386,1.55520596119084,0.273,0.144,1,"4","CT45A11P"
0.00144346197283251,0.758344191253424,0.545,0.416,1,"4","POLDIP2"
0.00144751537634202,0.79354058156464,0.352,0.208,1,"4","GPC5"
0.0014512177492304,0.60183550949203,0.807,0.709,1,"4","TAS2R20"
0.00145229396535701,0.903726334784666,0.5,0.351,1,"4","DDIT4"
0.0014572725027823,0.295283300624812,1,0.976,1,"4","COPA"
0.00145892167142227,0.657085810230422,0.625,0.42,1,"4","FBXL3"
0.0014596021325718,1.38185777459525,0.307,0.176,1,"4","LINC01065"
0.00146024800437807,0.481748404701542,0.466,0.33,1,"4","RN7SL677P"
0.00146585539083821,2.29763378038096,0.307,0.197,1,"4","RNFT1P3"
0.00146703003920407,0.880489945306187,0.307,0.178,1,"4","LINC02102"
0.0014688208198211,0.823449805068084,0.364,0.221,1,"4","LINC02111"
0.00147407143965402,0.681531550180093,0.273,0.148,1,"4","TTTY25P"
0.0014780525946324,1.04752940319345,0.284,0.156,1,"4","ANG"
0.00148299146590123,0.749809121103751,0.5,0.335,1,"4","DEFB124"
0.00148474997949128,0.481438413512521,0.977,0.912,1,"4","SLC9A6"
0.00148575632557582,1.32901150024856,0.489,0.338,1,"4","RMC1"
0.00148646832688767,1.6205151267017,0.273,0.147,1,"4","LINC01040"
