"","IRE1_softmax","ATF6_softmax","PERK_softmax","IRE1_score","PERK_score","ATF6_score"
"102_56",0.687756715643146,0.0887680351661164,0.223475249190738,-0.589283060440819,-1.71341755880986,-2.63669160400539
"102_57",0.427187701392386,0.0994664325334055,0.473345866074209,-0.20707877687278,-0.104475936030617,-1.6644820494568
"102_60",0.473746436056702,0.0806335655987193,0.445619998344579,-0.225873552309985,-0.287079218648479,-1.99663077638588
"102_61",0.450930417287022,0.224380782597467,0.324688800115511,-0.737447525372326,-1.06589338208601,-1.43541603664457
"102_66",0.211973216781439,0.680306984451602,0.107719798766959,0.355663406172721,-0.321263124752124,1.52174761943961
"102_67",0.162130422130262,0.797227410876601,0.040642166993137,-0.307103801806508,-1.69069876448791,1.28563508366896
"102_70",0.583702523854954,0.356511616114729,0.0597858600303174,2.41173339059646,0.133111093159782,1.91870873760099
"102_73",0.425205563472534,0.210579219112962,0.364215217414504,-1.05897760998922,-1.21380539119102,-1.76168842058376
"102_76",0.3921946364902,0.465457461971051,0.14234790153875,0.633812114994935,-0.379672051174014,0.805074587940872
"102_77",0.566664759933938,0.0552717950072125,0.37806344505885,0.994143249855028,0.589437398913334,-1.33336188431332
"102_78",0.455323489725828,0.402174454633412,0.14250205564076,0.315851211824443,-0.845800495786147,0.191729040292473
"102_79",0.603184935507144,0.133548301378147,0.263266763114709,-0.454457950565281,-1.28351396611978,-1.96221857217574
"102_82",0.0864009248440174,0.55139436498072,0.362204710175262,0.762549359423871,2.19576052917189,2.61600125851908
"102_84",0.327399894721489,0.171837198762751,0.50076290651576,-0.169471393573038,0.255479011633009,-0.814106227190299
"102_87",0.169009022880982,0.506587847471068,0.324403129647951,-0.258814766135668,0.393220100229638,0.838930879407159
"102_88",0.112868899162217,0.664867680835893,0.22226342000189,-1.21376194135553,-0.536125647096013,0.559599142543063
"102_90",0.442564578120873,0.425342068798287,0.13209335308084,0.492081492687513,-0.716996007435258,0.452388812584148
"102_91",0.170515513798323,0.123206732798993,0.706277753402684,-0.000113765107025765,1.42106853083116,-0.325076348762075
"102_92",0.194242738533671,0.649939121827717,0.155818139638612,-0.413526185653839,-0.633945236474864,0.794243907640015
"102_93",0.0782557732130355,0.782550701368724,0.13919352541824,-1.23175816713958,-0.655875538900062,1.07081794147807
"102_94",0.671608102974789,0.153104342098071,0.17528755492714,-0.0737418739987672,-1.41698906790193,-1.55229720085853
"102_95",0.449324456172776,0.535740529195441,0.0149350146317835,1.34081172916372,-2.06322508578804,1.51671643938754
"102_96",0.0181856342596939,0.689719205039164,0.292095160701142,-1.57543123248621,1.20101645349247,2.06022137704998
"102_97",0.133010429118279,0.769489408015231,0.0975001628664901,-1.22114448969206,-1.53171798083477,0.534155159158954
"102_98",0.412348781129214,0.201450507095514,0.386200711775272,-1.01902798941029,-1.08454032375697,-1.73535380791028
"102_99",0.0801678310501878,0.737269262159175,0.182562906790637,-1.18449149354591,-0.361519010480523,1.03433935553994
"102_100",0.17766405096001,0.511725823073616,0.310610125966374,-0.796032154888889,-0.237388056235183,0.261862412071154
