"pseudotime","IRE1_score","PERK_score","ATF6_score","Dataset"
89,-0.319848200170719,0.0584806831119639,-0.197373064446587,"Patel (2014)"
90,-0.208742101176077,-0.103850874175419,0.126967327142443,"Patel (2014)"
91,0.51783728803588,0.444163752971451,0.2507122770332,"Patel (2014)"
92,-0.149933859995553,0.000638336466944833,0.0403134237549793,"Patel (2014)"
93,0.257661689900311,-0.0838247362453179,0.514377253754714,"Patel (2014)"
94,-0.270769363798585,-0.158464929403611,-0.439233459179078,"Patel (2014)"
95,0.140188545715972,0.122120536224542,0.783698988056183,"Patel (2014)"
96,0.624496910403326,0.419193892336086,0.955967338023577,"Patel (2014)"
97,-0.237542055117602,-0.0703471810368108,0.319642051877525,"Patel (2014)"
98,0.106345059258266,-0.273190423830166,0.545827505917119,"Patel (2014)"
99,-0.219520785405834,-0.0631431400760639,-0.246888411315791,"Patel (2014)"
100,-0.260679761433793,-0.182389859788659,-0.257989902836534,"Patel (2014)"
101,0.0508839941510094,-0.0988211383220731,0.730687817474794,"Patel (2014)"
102,-0.126768350388732,-0.0898074278807359,0.0413126214186639,"Patel (2014)"
103,-0.0223368170211766,-0.0880852373058502,0.155739350372476,"Patel (2014)"
104,0.517302337511265,0.343051783312932,0.585237246424362,"Patel (2014)"
105,-0.0680577365076264,0.0574199818759774,0.188774946777043,"Patel (2014)"
106,-0.173169064310429,-0.199116032911997,-0.528520404384317,"Patel (2014)"
107,-0.0534741383302569,-0.094171122139937,0.742676735922899,"Patel (2014)"
108,-0.183017005216678,-0.126168775623743,-0.163217794926763,"Patel (2014)"
109,0.164532581409944,0.0838532165272486,0.736022970378912,"Patel (2014)"
110,0.0872896015355695,-0.087294234284417,0.348959023622951,"Patel (2014)"
111,-0.0831900991224938,-0.136017165281983,-0.534399987241274,"Patel (2014)"
112,0.160796764401908,0.457853502122467,0.871672458479217,"Patel (2014)"
113,-0.0665191042424819,0.106009085398146,0.27756798131939,"Patel (2014)"
114,0.0614849357340765,-0.100125901212802,-0.184662117325777,"Patel (2014)"
115,-0.194543234094707,-0.127329492946186,0.115288245361183,"Patel (2014)"
116,-0.0179127276990294,-0.0252929634208532,0.130722529655391,"Patel (2014)"
117,0.0966101855643466,-0.141934714595732,0.921330566522439,"Patel (2014)"
118,0.120561944000015,0.356911011481492,0.789565263510915,"Patel (2014)"
119,-0.0993593575037922,-0.132379589850309,0.70121903129922,"Patel (2014)"
120,0.028039980615684,-0.151871449121756,0.539644079170404,"Patel (2014)"
121,0.388695277053491,-0.253665818501759,0.448179187963537,"Patel (2014)"
122,0.136649150645654,0.0281985811348037,-0.19710086240472,"Patel (2014)"
123,-0.223539652008104,-0.0173332926085557,-0.0522797191787004,"Patel (2014)"
124,0.175641839122746,0.371193083641789,0.348793546287635,"Patel (2014)"
125,0.0697724397246143,-0.220533709344227,0.321403166251826,"Patel (2014)"
126,0.00254363799128854,-0.216457188633385,0.119740573863091,"Patel (2014)"
127,-0.130102623520539,-0.151607711565686,-0.0414796384342995,"Patel (2014)"
128,0.0534092956317356,0.11701417841632,0.338803356976367,"Patel (2014)"
129,0.0708304473092803,0.222675375675382,0.566425764272407,"Patel (2014)"
130,0.56161434335021,0.283881453752397,-0.0717243914280927,"Patel (2014)"
131,-0.0615227167364523,-0.14764332217848,0.00717908089432667,"Patel (2014)"
132,-0.279517178335945,-0.136773115736609,-0.240558365777924,"Patel (2014)"
133,0.382539250771342,0.257762410263675,0.576867663589569,"Patel (2014)"
134,-0.00745409585167522,0.0380194871843662,0.789825627577296,"Patel (2014)"
