"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.32681116064325,0.992,0.322,0,"0","PCSK1N"
0,1.92073387264955,0.835,0.165,0,"0","FAM89B"
0,2.03068011774023,0.833,0.163,0,"0","HOMER3"
0,1.56188895640343,0.828,0.159,0,"0","EPN2"
0,1.38541587164701,0.9,0.232,0,"0","CSNK2A1"
0,1.47290878941557,0.878,0.21,0,"0","DLGAP4"
0,1.52431620516709,0.919,0.251,0,"0","HMG20B"
0,1.80966420994937,0.886,0.219,0,"0","CAMK2N1"
0,1.45581898054481,0.954,0.287,0,"0","CXXC5"
0,2.12514784976231,0.895,0.228,0,"0","CHPT1"
0,1.64314926365992,0.953,0.286,0,"0","MRPL12"
0,1.96076585307272,0.779,0.112,0,"0","EIF1AY"
0,1.31565898746096,0.938,0.271,0,"0","ABI2"
0,1.41288754586668,0.959,0.293,0,"0","DTD1"
0,1.90834548942111,0.832,0.166,0,"0","RAB22A"
0,1.3580172823622,0.924,0.26,0,"0","ESF1"
0,1.91200998032785,0.785,0.121,0,"0","DOK5"
0,0.606282692018247,0.912,0.248,0,"0","UBE2S"
0,2.16184168776508,0.787,0.123,0,"0","SPATC1L"
0,1.33472965441747,0.884,0.221,0,"0","SEPT11"
0,2.15217642924696,0.935,0.272,0,"0","PMP2"
0,1.12203738732787,0.925,0.262,0,"0","BAALC"
0,1.4094171773102,0.886,0.223,0,"0","TFPT"
0,1.44200314672238,0.826,0.163,0,"0","MT-ND6"
0,2.87662779323083,0.742,0.08,0,"0","CITED1"
0,1.40611106604051,0.883,0.221,0,"0","SKA2"
0,1.46565016656078,0.888,0.226,0,"0","AP3D1"
0,1.39157883013253,0.851,0.189,0,"0","TRAF4"
0,1.77450394058523,0.988,0.326,0,"0","MRPS26"
0,1.52660724366588,0.836,0.174,0,"0","CDS2"
0,1.65424689233425,0.899,0.238,0,"0","MACF1"
0,1.69713533562884,0.837,0.176,0,"0","TMEM203"
0,1.41283180580314,0.865,0.204,0,"0","PNMA1"
0,1.48966871081791,0.914,0.253,0,"0","AP2B1"
0,1.8739320884708,0.989,0.328,0,"0","C17orf89"
0,2.00528597668156,0.796,0.135,0,"0","CCDC137"
0,2.2851957370564,0.772,0.111,0,"0","COL9A3"
0,1.84343908882813,0.836,0.175,0,"0","SH3GL1"
0,1.65840056540465,0.957,0.296,0,"0","CHCHD10"
0,2.28107953789366,0.79,0.13,0,"0","BICD1"
0,1.62946004902424,0.902,0.242,0,"0","ALKBH5"
0,1.31052989564135,0.889,0.229,0,"0","PKIG"
0,1.38346901101142,0.939,0.279,0,"0","SRM"
0,0.777173478439064,0.968,0.308,0,"0","SPARC"
0,1.84412955613309,0.86,0.201,0,"0","ITGAV"
0,1.20332672611805,0.948,0.289,0,"0","B3GAT3"
0,1.56038799815552,0.839,0.18,0,"0","BRD7"
0,1.10982668396808,0.846,0.187,0,"0","PDRG1"
0,1.65092981458138,0.913,0.255,0,"0","RBCK1"
0,1.62481669117448,0.836,0.178,0,"0","RABEP1"
0,1.5272657047659,0.827,0.169,0,"0","FAM104A"
0,1.37633110491576,0.897,0.24,0,"0","DPYSL3"
0,2.32819595612784,0.762,0.105,0,"0","TLE1"
0,2.18697670605103,0.768,0.111,0,"0","TACO1"
0,1.34229530123972,0.872,0.215,0,"0","AHCY"
0,1.72086490714147,0.99,0.333,0,"0","NFIC"
0,1.58217402844191,0.854,0.197,0,"0","KEAP1"
0,1.56404873231342,0.821,0.164,0,"0","TRIM9"
0,1.37767912635519,0.824,0.167,0,"0","TIMM22"
0,1.8851661835987,0.799,0.143,0,"0","CKAP4"
0,1.48201846896591,0.923,0.267,0,"0","CLTC"
0,1.75267581944589,0.821,0.165,0,"0","NUFIP2"
0,1.44084077546157,0.903,0.248,0,"0","SPATS2L"
0,1.85799065192117,0.774,0.12,0,"0","AKAP12"
0,1.10497440544204,0.886,0.232,0,"0","GOLM1"
0,1.3916308294279,0.888,0.234,0,"0","TMEM134"
0,1.74546743999891,0.839,0.185,0,"0","TPM1"
0,1.94834141792044,0.812,0.159,0,"0","CASC4"
0,1.38106078304876,0.899,0.246,0,"0","NARF"
0,1.98488520249836,0.767,0.115,0,"0","NAT14"
0,2.538936547551,0.745,0.094,0,"0","OSBPL6"
0,2.73931199860454,0.739,0.088,0,"0","CHL1"
0,1.4864344488961,0.983,0.332,0,"0","SOX2"
0,1.68917641124395,0.931,0.28,0,"0","IDS"
0,1.50808969999625,0.935,0.285,0,"0","TNFRSF1A"
0,1.77757241622396,0.797,0.147,0,"0","ECI1"
0,1.41896419691287,0.871,0.221,0,"0","MVB12A"
0,1.21742857295719,0.941,0.291,0,"0","ABHD12"
0,1.30722151061395,0.948,0.299,0,"0","TADA3"
0,1.09103142399767,0.908,0.259,0,"0","CYSTM1"
0,1.50945317627395,0.868,0.219,0,"0","GTF2F2"
0,2.72748941615377,0.78,0.132,0,"0","HES4"
0,1.8508420012673,0.824,0.176,0,"0","HEY1"
0,0.995523574324587,0.827,0.179,0,"0","CENPV"
0,1.34891417638849,0.954,0.306,0,"0","SNX5"
0,1.46999465469348,0.827,0.18,0,"0","POMGNT1"
0,1.94799424827386,0.774,0.127,0,"0","MAML2"
0,2.09992267376574,0.919,0.272,0,"0","ATP2B1"
0,1.275115546121,0.865,0.218,0,"0","C14orf1"
0,1.1658005200533,0.956,0.309,0,"0","ITPA"
0,2.40992334768446,0.751,0.105,0,"0","EHBP1"
0,0.869814114549281,0.902,0.256,0,"0","POLR2J3"
0,1.11343982109375,0.918,0.272,0,"0","FHL1"
0,1.75004946628388,0.777,0.131,0,"0","APBA2"
0,1.44160085000055,0.883,0.237,0,"0","CRK"
0,1.17344857321309,0.913,0.267,0,"0","TTC19"
0,1.31014289942872,0.892,0.246,0,"0","DNTTIP1"
0,1.24934471476635,0.864,0.218,0,"0","C19orf25"
0,1.69359815391162,0.96,0.314,0,"0","SDF4"
0,1.30154155030703,0.962,0.316,0,"0","MRPL14"
0,1.45755581345773,0.819,0.173,0,"0","ARHGAP21"
0,1.00085386702291,0.88,0.236,0,"0","PAICS"
0,2.03125031782372,0.777,0.133,0,"0","REST"
0,1.2733135186596,0.914,0.27,0,"0","SPAG9"
0,1.01650918577717,0.938,0.294,0,"0","MRPL36"
0,2.32485163453745,0.902,0.259,0,"0","HMGA1"
0,1.28999199186867,0.948,0.305,0,"0","PIGT"
0,1.602479671813,0.854,0.212,0,"0","SPNS1"
0,1.25991930824467,0.896,0.254,0,"0","DGCR6L"
0,1.61399051321619,0.984,0.342,0,"0","EMC6"
0,1.96168629375385,0.778,0.137,0,"0","RGMA"
0,3.31238231972902,0.694,0.053,0,"0","COL4A1"
0,1.14207548364831,0.864,0.224,0,"0","PRAF2"
0,1.55159175725509,0.844,0.204,0,"0","TCF12"
0,1.11167314567871,0.942,0.302,0,"0","ODC1"
0,1.1749335797221,0.951,0.311,0,"0","CTSA"
0,0.820549035988988,0.866,0.227,0,"0","S100A13"
0,1.65362996296436,0.814,0.175,0,"0","SQLE"
0,1.07105415183102,0.9,0.261,0,"0","EXOC7"
0,2.08227055226354,0.745,0.106,0,"0","GCAT"
0,1.28130875608909,0.931,0.293,0,"0","RNF187"
0,1.31385616209823,0.81,0.172,0,"0","ITGB8"
0,1.35690305339923,0.784,0.146,0,"0","ENC1"
0,1.42356879443854,0.854,0.216,0,"0","HRAS"
0,1.28629249675447,0.917,0.279,0,"0","C17orf62"
0,1.30366352309729,0.846,0.208,0,"0","HSPBP1"
0,1.01446642253415,0.917,0.28,0,"0","ERLEC1"
0,0.63163380123486,0.959,0.322,0,"0","VAMP5"
0,1.3454434816616,0.9,0.263,0,"0","MPG"
