"","pseudotime","UPR_Rheostat_SD","UPR_Rheostat_Range","UPR_Rheostat_CV","UPR_Balance","Dominant_UPR"
"105_B1_498",16.4710598511365,0.21160002470223,0.420825666477918,-0.407743032109235,0.921608452522978,"IRE1_score"
"105_B1_499",19.792011668823,0.716128558890706,1.40527807044124,3.08192991513893,0.81177872377831,"ATF6_score"
"105_B1_502",17.7099407527815,0.226838100779429,0.444774395198813,-0.326920861477624,0.901125965738986,"IRE1_score"
"105_B1_508",17.984331890238,0.301642225094484,0.587561996802641,-0.408377199784005,0.854031333016284,"IRE1_score"
"105_B1_509",18.5870000332164,0.915547772637151,1.63188741695552,11.6078489294116,0.803449697810188,"IRE1_score"
"105_B1_516",19.563928686217,1.00877042018854,1.89339379489432,13.5028176440513,0.621683791885933,"ATF6_score"
"105_B1_519",19.0822386681842,1.1097521991736,2.03858631430381,3.87412735411893,0.559080011466476,"ATF6_score"
"105_B1_520",17.401916136485,0.21916024335865,0.437525839541318,-0.361241705740951,0.929611932709729,"IRE1_score"
"105_B1_529",15.9886599311921,0.262865085986554,0.521586241050978,-0.46683302494939,0.890825371608477,"IRE1_score"
"105_B1_530",19.0822387841058,0.1456145124971,0.291224082021266,-0.345976909487212,0.973137313327349,"IRE1_score"
"105_B1_534",16.7150285875568,0.15967859947587,0.291393820283256,-0.339639004592089,0.91503152068897,"IRE1_score"
"105_B1_535",18.3603655644732,1.06341035217312,1.88870194622628,-61.2379003846739,0.469724242372337,"IRE1_score"
"105_B1_538",17.5731665129652,0.194379496602205,0.385551456162533,-0.334326165190569,0.93040870450052,"IRE1_score"
"105_B1_541",14.3061362330227,0.174261952205514,0.330059017117701,-0.407743014437729,0.919635425473855,"IRE1_score"
"105_B1_548",17.0597291504188,0.162925344598503,0.325589184977542,-0.278081971383092,0.958701031936503,"IRE1_score"
"105_B1_549",19.5929982992813,0.143060529173773,0.278172026095668,-0.324779578192518,0.981904477249162,"IRE1_score"
"105_B1_550",18.1633433573115,0.28101202938237,0.562010225471171,-0.387545165281353,0.8950448047358,"IRE1_score"
"105_B1_551",15.1107636763539,0.0441908674279747,0.0876325644446677,-0.116595516801095,1.06737833948221,"PERK_score"
"105_B1_554",19.1734894653681,0.107290811479635,0.213730633816884,-0.215314094594843,1.00189131847365,"IRE1_score"
"105_B1_561",19.7874590931459,0.162428540641248,0.319642215419416,-0.368183346680428,0.948812143106939,"IRE1_score"
"105_B1_564",18.8143567414394,1.6167549431177,3.22645588955522,2.63544196816094,0.709074220208982,"ATF6_score"
"105_B1_569",19.8590737201987,0.973003006023693,1.7831733672841,5.73442418033965,0.573048491939085,"ATF6_score"
