"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,61.3543513109618,0.170677134822512,"KAZN",0
"OK",0,69.7554055777211,0.194069691791012,"TMEM51",0
"OK",0,113.734302052558,0.316525271266596,"EFHD2",0
"OK",0,47.2159253890368,0.131325185913418,"CASP9",0
"OK",0,53.1607121321249,0.147867652079689,"DNAJC16",0
"OK",0,48.2962905383147,0.134344791584421,"PLEKHM2",0
"OK",0,55.8887993277792,0.155472819916096,"FBLIM1",0
"OK",0,67.5940471037679,0.188081109768517,"SPEN",0
"OK",0,45.445958770884,0.126416607360425,"ZBTB17",0
"OK",0,78.803336219272,0.211336504226071,"C1orf64",0
"OK",0,63.8246444588112,0.176980179963329,"FAM131C",0
"OK",0,51.3051321101435,0.142553959873953,"EPHA2",0
"OK",0,38.1736723936342,0.106166940125488,"FBXO42",0
