"cell_id","Dim1","Dim2","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_State","seurat_clusters","UPR_Reostat"
"SRR1294782",-5.26314760050731,3.62641561563297,0.190744753481323,0.0478439269300831,0.125969196682043,"PERK-high","0",0.0715542646778198
"SRR1294783",-5.43789888224559,3.42492974336429,0.154586933306717,-0.0415484740024533,0.338623823698723,"PERK-high","4",0.190118231181233
"SRR1294784",-5.9911363204475,3.42719054754062,-0.0263490279493256,-0.101840399692646,0.0277743470305994,"Intermediate/Mixed","5",0.0651002681702575
"SRR1294785",-5.659067400312,3.96840930517002,0.274507919812705,0.301873173878691,0.982912037137193,"Multi-arm-high","5",0.401330949018558
"SRR1294786",-6.89129329523998,3.36427164609714,0.0679536976184729,0.0306773505741401,0.0317477406157689,"Intermediate/Mixed","5",0.0212192644637383
"SRR1294787",-6.25551439127879,4.06191146905704,0.114398866745776,0.414848107015598,0.982564199181453,"Multi-arm-high","5",0.440885917164885
"SRR1294788",-1.08698556623416,-4.93521606390194,-0.176195865095537,0.0120304265942461,-0.211676973725096,"Intermediate/Mixed","1",0.120231060123489
"SRR1294789",-6.38425136408763,3.76287949617191,0.325713617151492,0.455542932396124,1.04096376205084,"Multi-arm-high","5",0.381041548187123
"SRR1294790",-6.55419708094554,3.61654174859806,0.235810511709492,0.00903874404883886,0.0841893330989115,"PERK-high","5",0.115514809617477
"SRR1294791",-5.3400132735725,3.76112235124393,0.127466196837589,0.380838719094458,1.06289993162935,"Multi-arm-high","5",0.483811499943562
"SRR1294792",-0.622290142392686,-5.02325450842099,-0.00302607948875358,0.13253358178554,0.611641180599382,"Intermediate/Mixed","1",0.322938681906804
"SRR1294793",-6.58442903361278,2.94239515598102,-0.0602398251933288,0.240384168390026,0.830090099311529,"ATF6-high","5",0.452919279958881
"SRR1294794",-6.68216825327831,3.67966580922885,-0.0489397168562659,0.204785080652325,0.648754662748982,"Intermediate/Mixed","5",0.353143670015148
"SRR1294795",-5.57548547587352,3.57265675599857,-0.262784683146179,0.0535124975735158,-0.0209221283025026,"Intermediate/Mixed","5",0.16536924114238
"SRR1294796",-6.37083555064159,3.16045404012485,0.279457372282545,0.702625226050333,1.71488590052067,"Multi-arm-high","5",0.737585900672081
"SRR1294797",-5.81177926859813,3.52900779779239,0.042576778436229,0.506648696043459,0.91977097880618,"Multi-arm-high","5",0.43884363775522
"SRR1294798",-0.989992224192193,-4.98052274648861,0.0176934769263666,0.264985136648846,0.269119880271592,"Intermediate/Mixed","1",0.143982346934292
"SRR1294799",-6.39367175898509,3.55212545926853,-0.0220849042861951,0.184189000815028,0.239654411118536,"Intermediate/Mixed","5",0.137920753148552
"SRR1294800",-5.50332713923412,3.83716714914127,0.179778644255749,0.500154930013496,1.39324814411927,"Multi-arm-high","5",0.628856724627681
"SRR1294801",-6.11248231730419,3.80739057596012,0.110781794531523,0.300708258270404,0.723094837717973,"PERK-high","5",0.313424564816381
"SRR1294803",-7.62009979090648,2.93924385841175,0.0346421146957464,0.446018321589585,1.29055047949416,"Multi-arm-high","5",0.640282589968934
"SRR1294804",-7.06377387843089,2.55600747998043,-0.052460179710272,0.675932727149658,1.48101324920688,"Multi-arm-high","3",0.767056237720406
"SRR1294805",-1.05582035384136,-5.00319683019833,-0.216394941186616,0.198722442173376,0.271974696372156,"Intermediate/Mixed","1",0.263373384381102
"SRR1294806",-5.71309829554515,3.73410988385959,-0.083686192533624,0.177871748811419,0.761006786704785,"Intermediate/Mixed","5",0.432428271176121
"SRR1294807",-6.28663755259471,3.86409044797702,-0.226719076872163,-0.264954364612064,0.0481546446231661,"All-low","5",0.17080922675191
"SRR1294808",-1.04740149579006,-5.04685747091488,-0.0350549820129886,-0.0184254486865542,0.501953962791738,"Intermediate/Mixed","1",0.305354951946483
"SRR1294809",-1.04879076085048,-5.02328597967343,0.539679432325696,0.329121954366526,0.688411968315618,"PERK-high","1",0.180529375684429
"SRR1294810",-6.30806470713573,4.15644300515933,0.139542948705767,0.0611009944991731,0.548745064179599,"PERK-high","5",0.261851182348071
"SRR1294811",-5.78577113947826,3.58611012037082,-0.0613459252640898,0.00864063977204965,-0.0532579688169837,"Intermediate/Mixed","5",0.0382861421193675
"SRR1294812",-7.70628524622875,2.77415353591724,-0.130120247545213,0.118672352090671,0.577319817605664,"Intermediate/Mixed","5",0.358870148530446
"SRR1294813",-7.46421457133251,3.02639550502582,0.110928154373979,0.513020474507328,1.12762685786945,"Multi-arm-high","5",0.512037676684876
"SRR1294814",-5.62759567103343,3.92020893628879,0.620739822535935,0.625429678174888,1.81285685128522,"Multi-arm-high","5",0.686919245183488
"SRR1294815",-5.55040336451488,3.91040564115329,0.283794007043234,0.138365272187914,0.416526167808348,"PERK-high","5",0.139128733717708
"SRR1294816",-1.28942809305148,-5.00899373953061,0.141206000727841,0.0199007693067691,0.293474092441781,"PERK-high","1",0.137078380288711
