"seurat_clusters","Ratio","Value"
"0","PERK/ATF6",0.498221604008166
"0","IRE1/ATF6",1.30266757369096
"0","IRE1/ATF6",0.119778130417211
"0","IRE1/ATF6",10.5993590984294
"4","IRE1/ATF6",0.805972050098246
"0","PERK/IRE1",0.499628986361437
"0","PERK/ATF6",0.298721658758596
"0","IRE1/ATF6",0.597886965954567
"0","PERK/IRE1",0.339989133624878
"0","PERK/ATF6",0.316503450710057
"0","IRE1/ATF6",0.930922254295536
"0","PERK/IRE1",0.95462345078578
"0","PERK/ATF6",0.763662410292025
"0","IRE1/ATF6",0.799961921806374
"0","IRE1/ATF6",0.765894510168625
"0","IRE1/ATF6",1.62368602368806
"0","PERK/IRE1",0.495089216837397
"0","PERK/IRE1",0.858002620930872
"0","PERK/ATF6",1.76854207597008
"0","IRE1/ATF6",2.0612315543411
"0","PERK/ATF6",0.0396562743543465
"0","IRE1/ATF6",0.501888059699695
"0","PERK/IRE1",0.583702045281827
"0","PERK/ATF6",0.359317450791144
"0","IRE1/ATF6",0.61558367611622
"0","PERK/IRE1",0.872029211719643
"0","PERK/ATF6",0.156901612081252
"0","IRE1/ATF6",0.179927013880466
"0","PERK/IRE1",0.671776127663271
"0","PERK/ATF6",0.439089063586968
"0","IRE1/ATF6",0.653624095149541
"0","PERK/IRE1",0.293170620346277
"0","IRE1/ATF6",0.196305156739018
"0","PERK/IRE1",0.284380911228433
"0","PERK/ATF6",0.252729031610417
"0","IRE1/ATF6",0.888699000642167
"0","PERK/IRE1",0.698513656925498
"0","PERK/ATF6",0.705824850651965
"0","IRE1/ATF6",1.01046678708996
"0","IRE1/ATF6",0.0709100150526925
"0","PERK/IRE1",0.706119048283964
"0","PERK/IRE1",4.08145400597563
"0","PERK/IRE1",0.663805193248727
"0","PERK/ATF6",0.586881480853371
"0","IRE1/ATF6",0.884117037381277
"0","PERK/ATF6",0.307838220313728
"0","PERK/IRE1",1.15070633452932
"0","PERK/ATF6",0.375560890660189
"0","IRE1/ATF6",0.326374227194817
"0","PERK/IRE1",1.7755626886819
"0","PERK/IRE1",0.687676272196317
"0","PERK/ATF6",0.771609401300599
"0","IRE1/ATF6",1.12205325746694
"0","PERK/IRE1",0.512607341735996
"0","PERK/ATF6",0.115129677008065
"0","IRE1/ATF6",0.224596231138958
"0","IRE1/ATF6",0.25228554080861
"0","PERK/IRE1",1.6427424558858
"0","PERK/ATF6",0.253125550265358
"0","IRE1/ATF6",0.154087178643513
"0","PERK/IRE1",2.83598688650324
"0","PERK/ATF6",0.525802662458374
"0","IRE1/ATF6",0.185403770715839
"0","PERK/ATF6",0.384139931988292
"0","PERK/ATF6",0.539718819842277
"0","PERK/IRE1",0.652719758130985
"1","PERK/IRE1",1.4363716990635
"0","IRE1/ATF6",0.105829936800617
"0","PERK/IRE1",2.94426857373594
"0","PERK/ATF6",0.452727975792919
"0","IRE1/ATF6",0.153765855408517
"0","PERK/IRE1",1.33571012646401
"0","IRE1/ATF6",0.0537136754743428
"0","IRE1/ATF6",0.867571979058667
"0","PERK/IRE1",0.212123220505507
"0","PERK/IRE1",0.0733949768554546
"0","PERK/ATF6",0.318513690600316
"0","IRE1/ATF6",4.33972056735712
"0","PERK/IRE1",2.10704941417167
"0","PERK/ATF6",1.06403645119208
"0","IRE1/ATF6",0.50498884555604
"8","IRE1/ATF6",0.219515337108491
"0","IRE1/ATF6",0.0293491895715745
"1","PERK/IRE1",1.16657359439118
"1","PERK/ATF6",3.72057946639345
"1","IRE1/ATF6",3.18932254620008
"0","PERK/IRE1",2.16900764926436
"0","PERK/ATF6",0.347301390623189
"0","IRE1/ATF6",0.160119947359789
"0","PERK/IRE1",3.11393544178144
"0","PERK/ATF6",0.3941931962892
"0","IRE1/ATF6",0.12659003491212
"0","PERK/IRE1",0.506352987831786
"0","PERK/IRE1",2.42294678900556
"0","PERK/IRE1",0.487485606984143
"0","PERK/ATF6",0.566764242591611
"0","IRE1/ATF6",1.16262764371225
"0","PERK/IRE1",0.674669958141896
"0","PERK/ATF6",0.44778835461446
"0","IRE1/ATF6",0.663714678874557
"0","PERK/ATF6",0.0493401905852532
"8","IRE1/ATF6",0.316990315406157
"0","PERK/ATF6",0.9853587553501
"0","IRE1/ATF6",0.494324360205553
"0","PERK/IRE1",2.50241554025167
"1","PERK/IRE1",0.95801746694123
"1","PERK/ATF6",0.3027916743475
"1","IRE1/ATF6",0.31606070327116
"0","PERK/IRE1",12.3706460390336
"0","PERK/IRE1",0.436077175623873
"0","PERK/ATF6",0.199996548113303
"0","IRE1/ATF6",0.458626498456789
"0","IRE1/ATF6",0.0822442930902986
"1","PERK/ATF6",0.811412226333263
"0","IRE1/ATF6",0.845823328297824
"0","PERK/IRE1",1.63093712420425
"0","IRE1/ATF6",0.353050332343613
"0","PERK/IRE1",14.2525516732881
"0","PERK/IRE1",0.436514759484987
"0","PERK/ATF6",0.363235378387739
"0","IRE1/ATF6",0.832126223672929
"0","PERK/IRE1",0.193614850848005
"0","IRE1/ATF6",0.12321708185388
"1","PERK/IRE1",0.440706861499681
"1","PERK/ATF6",0.285981051976776
"1","IRE1/ATF6",0.648914453030324
"0","PERK/IRE1",0.776924493399813
"0","PERK/ATF6",0.923044607604671
"0","IRE1/ATF6",1.18807505162495
"0","PERK/IRE1",7.78950450049693
"0","PERK/IRE1",0.0388966790270024
"0","PERK/ATF6",0.0353142008935024
"0","IRE1/ATF6",0.907897583466882
"4","IRE1/ATF6",0.959310237569369
"0","IRE1/ATF6",0.856524847877845
"0","PERK/IRE1",0.0928052278428429
"0","PERK/ATF6",0.0689299256761989
"0","IRE1/ATF6",0.742737529753447
"0","PERK/IRE1",1.80367578746955
"0","PERK/ATF6",7.84309469996618
"0","IRE1/ATF6",4.34839495792622
"0","IRE1/ATF6",0.716317926635032
"0","PERK/IRE1",1.06040111013759
"8","PERK/ATF6",7.91157441741561
"0","PERK/IRE1",0.62075151700708
"0","PERK/ATF6",0.344119926983361
"0","IRE1/ATF6",0.554360186894938
"0","PERK/IRE1",0.974804209961707
"0","PERK/ATF6",0.973694545325943
